Index,Likes,Comment
1,0,"Just everyone, stop picking out the differences in the world. It would solve absolutely everything. No more racial problem, no more 'I identify as', etc. This world really has gone way too far"
2,0,"What gives me the right to judge a trans-gendered female?  Simple,  I identify as a judge!!!"
3,0,they dont want to exploit they want to depopulate the world coz the confusion limits reproduction
4,0,"Your birth certificate determines your gender, call yourself what you want , you are either male or female 🤷🏻‍♀️🤷🏻‍♀️"
5,0,"We’re having these stupid debates because of these stupid people who want to identify themselves as something they’re not.

Do u expect Lilly from a rose plant ?

Like seriously.
Our present world scenarios so fucked up ."
6,0,He Just Nailed Feminist Well Done Piers Morgan :)
7,1,"The fact that we are having these conversations scares me.
It's very simple, there's men, women and cosplayers.

I am not against people being ""transgender"", but to legally give the thumbs up that they are a gender they are not born as is absurd.."
8,0,"""2 spirit pinguin."" is a good gender 🧞‍♂🧞‍♂"
9,0,I identify as i pizza as well.
10,0,4:05 to 4:15 😂
11,0,THIS IS NOT WOKENESS!!   Ugggh!!!
12,0,"I think I just figured out how I'm going to get on Section 8 and get free rent.

All I have to do is say I'm a woman.... and I have a dependent to take care of.  
Since they can tell me I'm NOT a woman??   I should get the apartment.   
Cause we ALL KNOW they dont give section 8 this to MEN easily!  If at all.

Notice how they cant DEFINE what these people are........ but they have all this help for the people they cant even define.

Its like ""We need equal rights for elephants"".
""Define what an elephant is""
""Ummm ..... an elephant is a large animal"".
""So is a giraffe.  So what makes an elephant an elephant?""
""Well I think we should respect all animals"".
""No you want equal rights for ELEPHANTS.   So tell me what that is so I can give it equal rights"".
"" ...... well.... see.... ""
""Am I an elephant?""
""No.""
""How do you know?""
""You're trying to confuse the topic here. This is about love"".

""NO THIS IS ABOUT EQUAL RIGHTS FOR ELEPHANTS!!!!   DEFINE WHAT ONE IS OR I'M NOT EVEN GOING TO CONSIDER ELEPHANTS RELEVANT CAUSE YOU CANT TELL ME WHAT IT IS I'M SUPPOSED TO GIVE EQUAL RIGHTS TO!!! ""

The sad part about this is we HAVE to address this nonsense because if you allow this to fester??   It will grow into something diabolical.
Then well be asking how did it get like this?!    It got like this cause we let them push this on the world unchallenged!!   Now we have a gender civil war going on and people are dying.

THE FACT THAT THEY WONT DEFINE ANYTHING IS WHAT MAKES THIS LOOK LIKE AN AGENDA ......... AND MAKES ME SIDE AGAINST THE VERY PEOPLE THEY ARE TRYING TO SUPPORT!     So well just have to be divided.  Makes no difference to me.  I sleep well anyway."
13,0,"I find this very difficult for people who actually have been born to the ""wrong"" gender and suffer enormously in their lives before entering operations where your gender is changed. I mean, that must be really difficult. (Watch a movie Danish Girl about this topic!) It's a completely different thing than somebody just deciding to ""feel like a woman"" one day. 

I refuse to use terms such as a workperson. I won't go into this madness where you can't use Words such as a boy or a Girl cause someone will get insulted."
14,0,Angelica is saying something ridiculous indeed!!!
15,0,"Eastern people like to see Westerners messing around like this, keep it up"
16,0,"west is dumb    even the debate is dumb 
transgender gender identity equality It's so dumb"
17,0,Piers  🫶🏻
18,0,"A man has xy chromosome while a woman xx chromosome.  If you have xy chromosome and believe that you are a man, then you are a man.  Same thing for women.  However, if you have xy chromosome but believe  you are a woman, then you are a trans, not a woman.  Stop lying because you are not straight.  You are neither a man or a woman."
19,1,As a pan giraffe 🦒 I agree with peirs Morgan.
20,0,"As a pure Christian Arabian white horse born in India, I agree in limitless!!"
21,0,"I was back behind with the news because of my exams and now I am thinking humanity will end, because someone unleashed all nukes to be free with them.




PS. Please do not take this comment seriously, English is my third language, if my comment comes off too aggressive, i apologize."
22,0,"My Yorkshire terrier identifies as a rottweiler.😂  
Piers sixties drugs have a lot to answer for."
