Date,Author,Comment,Likes,Sentiment Label,Sentiment Score
2023-11-24,max Shimul★,This hole is rishi sunak's ass black hole,0,Negative,-0.5423
2023-11-23,MAKHAN,That land belong to Palestinians. It never have and never will be Israel. Palestine forever. Peace to those lost their love one ❤,0,Positive,0.7506
2023-11-23,Shakeel Khan,Some one is gona have to foot the bill when the show is over,0,Neutral,0.0
2023-11-23,A Fa,"So The Palestinians voted in Hamas in free elections.  Hamas clearly states it's Genocidal intentions and acted on them.  Now The Palestinians claim to be the victim.  Only in the ME! Times are changing now.
Christians United for Israel.",0,Positive,0.7901
2023-11-23,Raymond,@BBC NEWS MORE TUNNELS FOR YOU FROM AL SHIFA HOSPITAL https://youtu.be/0Uu-ASbvXKE?si=tq7aAb-gNZh2IoVR,0,Neutral,0.0
2023-11-23,Ольга,Вышки Нефть Украинская !а не России и Китая !это территория Украины,0,Neutral,0.0
2023-11-23,David Coard,"U.S policy on Gaza is'nt dictated by Biden, Netanyahu controls Washington.",0,Neutral,0.0
2023-11-23,R R,There's no Israeli attack on Gaza. It's just propaganda by the Arab moslems & the BBC bought it! The smoke is from smoke bombs lit by Palestine children. The tunnels are just from studios,0,Negative,-0.7644
2023-11-23,E Rea,How is 50 versus 150 proportional?,0,Neutral,0.0
2023-11-23,mark hughes,"Mark Hughes
israeli  hostages vs 4000 Palestinians held under administrative detention (ie held without charge or trial.)  what is the defference?????",0,Negative,-0.5362
2023-11-23,TO LITTLE TO LATE,U ARE QUICK TO SHOW THE PALISTINE SADNESS BUT SHOWING THE FACTS  THAT THE TUNNELS USE FOR TERRORIST NOW IF THE HAMMAS DID NOT DO TERRORIST ACTS THEN THEY WOULD NOT GO THRU THE SUFFERING. WHY DONT THEY JUMP WITH JOY NOW?,0,Negative,-0.9432
2023-11-22,Thee A List,"US Tax Dollars at Work! US/UK/EU Elites & Legacy Media want DEATH & DESTRUCTION Across the Planet! DEMOCRATS, Republicans, the Bushes, Clintons, Obama to Trump & Biden All LOVE to Fund Endless, Senseless Wars! From Afghanistan, Iraq, Libya, Somalia, Sudan, Syria, Ukraine, Yemen, Now Israel-Palestine... next China, Iran, Venezuela, Russia, West Africa, India! Arming & Funding Terrorists across the Planet like Hamas, which Netanyahu has been Funding with US Tax Dollars for Years or Neo-Nazi Regimes in Ukraine, to Al-Queda and ISIS... all Funded by Western Nations to Destabilize Nations and Cause Wars for their Invasions. Never Peace!!!!",1,Negative,-0.9413
2023-11-21,Observer,I wish the best for the hostages. I'm afraid how many of them are still alive at this point 😢,0,Positive,0.8591
2023-11-21,rebiha meksaoui,We stand with Palestine,0,Neutral,0.0
2023-11-21,Merijn Hugens,"Six nations are calling on the International Criminal Court (ICC) in The Hague to launch an investigation into “Israel’s” indiscriminate war and genocide on Gaza and “the situation in the state of Palestine.” As confirmed by ICC chief prosecutor Karim Khan, the nations are Turkey (not State Party to The Rome Statute) South Africa, Bangladesh, Bolivia, Comoros, and Djibouti, which are all ICC members. In a statement, Khan said an investigation into Gaza and the occupied West Bank has already started in March 2021 and now “extends to the escalation of hostilities and violence since the attacks that took place on October 7th, 2023.”

The governing Justice and Development Party attorneys said today that Turkey has filed a case against Israeli Prime Minister Benjamin Netanyahu with the International Criminal Court (ICC), accusing him of committing genocide against the Palestinians.",0,Negative,-0.9246
2023-11-21,Veronique Gallant,"If apartheid had persisted, the beneficiaries would likely have been the minority white population, who held privileged positions under the discriminatory system. However, it's important to note that such a system is morally unjust and perpetuates social, economic, and racial inequalities.",0,Positive,0.4939
2023-11-21,نسم علينا الهوى,https://youtu.be/A1YPqBrAgi4?si=jPPa-s4_lHhrtFhD,1,Neutral,0.0
2023-11-21,Ben Robinsonshhh,Hostage lol Ur government Ur UK terrorist government hacks and threatens family's I been getting same shit rail moat was on about someone stole my fiancee and been mocking me since stopping money calling me tramp through YouTube feed putting drag race to call me tranny u act like u give a shit these country's go on about this like they care some posh reporter acting like she don't demean homeless or poor bullshit u all dillysional then they use someone losing kid so they sell story they been using my persona to they thiefs links cod black ops nuketown logo as turn left out pantry pirates channel blaze pirates many other games pattern as for abuse u can go back tomos and thing they laughing at that because they watch and take piss out poor don't believe them they use kids to get a story out how many this government killing through mental abuse gov trying to kil me and have proof what they doing to me,0,Negative,-0.9862
2023-11-21,Merijn Hugens,"The Israeli Ministry of Intelligence is recommending the forcible and permanent transfer of the Gaza Strip’s 2.2 million Palestinian residents to Egypt’s Sinai Peninsula, according to an official document revealed in full. The transfer plan is divided into several stages:

In the first stage, action must be taken so that the population of Gaza “evacuates south,” while the air strikes focus on the northern Gaza Strip.
In the second stage, a ground incursion into Gaza will begin, leading to the occupation of the entire Strip from north to south, and the “cleansing of the underground bunkers of Hamas fighters.”
Concurrently with the re-occupation of Gaza, Palestinian civilians will be moved into Egyptian territory, and not be allowed to return. “It is important to leave the travel routes to the south open to enable the evacuation of the civilian population toward Rafah,” the document states.",0,Positive,0.296
2023-11-21,C Apt,Congrats to BBC for being the most antisemitic news bureau for the past ten years!!! Bravo!,0,Positive,0.6776
